Handle,Metafield: custom.related_products [list.product_reference]
silla-iso-revolution-polipropileno,"[""silla-iso-smart-italiana-polipropileno"", ""silla-layer"", ""silla-nova-iso-italiana"", ""silla-pismo""]"
silla-shell,"[""silla-shell-trineo"", ""silla-strike"", ""silla-universitaria-shell""]"
silla-shell-trineo,"[""silla-shell"", ""silla-universitaria-shell"", ""silla-dream-malla"", ""silla-dream-tapizada"", ""silla-dream-tapizada-trineo"", ""silla-isosceles""]"
silla-strike,"[""silla-iso-revolution-polipropileno"", ""silla-shell"", ""silla-iso-smart-italiana-polipropileno"", ""silla-layer"", ""silla-nova-iso-italiana"", ""silla-pismo""]"
mesa-eames,"[""mesa-eileen-p-blanco"", ""mesa-elina-blanco""]"
mesa-eileen-p-blanco,"[""mesa-eames"", ""mesa-elina-blanco""]"
mesa-elina-blanco,"[""mesa-eames"", ""mesa-eileen-p-blanco""]"
silla-dsw-estilo-eames-blanca,"[""silla-dsw-estilo-eames-celeste"", ""silla-dsw-estilo-eames-negra"", ""silla-dsw-estilo-eames-roja"", ""silla-dsw-estilo-eames-rosada"", ""silla-dsw-estilo-organic-beige"", ""silla-dsw-patchwork-multicolor""]"
silla-dsw-estilo-eames-celeste,"[""silla-dsw-estilo-eames-blanca"", ""silla-dsw-estilo-eames-negra"", ""silla-dsw-estilo-eames-roja"", ""silla-dsw-estilo-eames-rosada"", ""silla-dsw-estilo-organic-beige"", ""silla-dsw-patchwork-multicolor""]"
silla-dsw-estilo-eames-negra,"[""silla-dsw-estilo-eames-blanca"", ""silla-dsw-estilo-eames-celeste"", ""silla-dsw-estilo-eames-roja"", ""silla-dsw-estilo-eames-rosada"", ""silla-dsw-estilo-organic-beige"", ""silla-dsw-patchwork-multicolor""]"
silla-dsw-estilo-eames-roja,"[""silla-dsw-estilo-eames-blanca"", ""silla-dsw-estilo-eames-celeste"", ""silla-dsw-estilo-eames-negra"", ""silla-dsw-estilo-eames-rosada"", ""silla-dsw-patchwork-multicolor""]"
silla-dsw-estilo-eames-rosada,"[""silla-dsw-estilo-eames-blanca"", ""silla-dsw-estilo-eames-celeste"", ""silla-dsw-estilo-eames-negra"", ""silla-dsw-estilo-eames-roja"", ""silla-dsw-patchwork-multicolor""]"
silla-dsw-estilo-organic-beige,"[""silla-dsw-estilo-eames-negra"", ""silla-dsw-estilo-eames-patchwork-multicolor"", ""silla-dsw-estilo-eames-roja"", ""silla-dsw-estilo-eames-rosada"", ""silla-patchwork-organic-multicolor"", ""silla-dsw-estilo-eames-kids-amarilla"", ""taburete-dsw-eames-blanco""]"
silla-dsw-patchwork-multicolor,"[""silla-dsw-estilo-eames-blanca"", ""silla-dsw-estilo-eames-celeste"", ""silla-dsw-estilo-eames-negra"", ""silla-dsw-estilo-eames-roja"", ""silla-dsw-estilo-eames-rosada""]"
silla-patchwork-organic-multicolor,"[""silla-dsw-estilo-eames-negra"", ""silla-dsw-estilo-eames-patchwork-multicolor"", ""silla-dsw-estilo-eames-roja"", ""silla-dsw-estilo-eames-rosada"", ""silla-dsw-estilo-organic-beige"", ""silla-dsw-estilo-eames-kids-amarilla"", ""taburete-dsw-eames-blanco""]"
silla-selena-tapiz-organic,"[""silla-selena-blanca""]"
taburete-shell,"[""taburete-race-colores""]"
banqueta-dream-polipropileno,"[""banqueta-dream-respaldo-malla"", ""banqueta-dream-tapizada-completa"", ""banqueta-kyos-asiento-tapizada"", ""banqueta-kyos-polipropileno"", ""banqueta-cosmos-pata-luna-cromada"", ""banqueta-cosmos-pata-recta"", ""banqueta-alice-polipropileno-plastico-pata-luna-cromada"", ""banqueta-alice-polipropileno-plastico-pata-splitz""]"
banqueta-dream-respaldo-malla,"[""banqueta-dream-polipropileno"", ""banqueta-dream-tapizada-completa"", ""banqueta-kyos-asiento-tapizada"", ""banqueta-kyos-respaldo-malla"", ""banqueta-cosmos-pata-luna-cromada"", ""banqueta-alice-polipropileno-plastico-pata-luna-cromada""]"
banqueta-dream-tapizada-completa,"[""banqueta-dream-polipropileno"", ""banqueta-dream-respaldo-malla"", ""banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado"", ""banqueta-iso-revolution-tapizada"", ""banqueta-kyos-tapizada-completa"", ""banqueta-kyos-asiento-tapizada"", ""banqueta-kyos-respaldo-malla"", ""banqueta-spring-tapizada-pata-recta-negra"", ""banqueta-alice-mixta-pata-splitz"", ""banqueta-alice-tapizada""]"
banqueta-iso-revolution-polipropileno,"[""banqueta-dream-polipropileno"", ""banqueta-dream-respaldo-malla"", ""banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado"", ""banqueta-iso-revolution-tapizada"", ""banqueta-iso-smart-plastica-italiana"", ""banqueta-kyos-polipropileno"", ""banqueta-shell-pla-stica"", ""banqueta-iso-plastica"", ""banqueta-alice-polipropileno-plastico-pata-luna-cromada"", ""banqueta-alice-polipropileno-plastico-pata-splitz"", ""banqueta-alice-mixta-pata-splitz""]"
banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado,"[""banqueta-dream-polipropileno"", ""banqueta-dream-respaldo-malla"", ""banqueta-dream-tapizada-completa"", ""banqueta-iso-revolution-polipropileno"", ""banqueta-iso-revolution-tapizada"", ""banqueta-kyos-asiento-tapizada"", ""banqueta-kyos-polipropileno""]"
banqueta-iso-revolution-tapizada,"[""banqueta-dream-respaldo-malla"", ""banqueta-dream-tapizada-completa"", ""banqueta-iso-revolution-polipropileno"", ""banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado"", ""banqueta-isonet"", ""banqueta-kyos-tapizada-completa"", ""banqueta-kyos-asiento-tapizada"", ""butaca-florencia"", ""banqueta-kyos-respaldo-malla"", ""banqueta-spring-tapizada-pata-recta-negra""]"
banqueta-iso-smart-plastica-italiana,"[""banqueta-dream-polipropileno"", ""banqueta-dream-respaldo-malla"", ""banqueta-iso-revolution-polipropileno"", ""banqueta-kyos-polipropileno"", ""banqueta-layer"", ""banqueta-shell-pla-stica"", ""banqueta-kyos-respaldo-malla"", ""banqueta-cosmos-pata-luna-cromada"", ""banqueta-cosmos-pata-recta"", ""banqueta-spring-tapizada-pata-recta-negra"", ""banqueta-iso-plastica"", ""banqueta-alice-polipropileno-plastico-pata-luna-cromada"", ""banqueta-alice-polipropileno-plastico-pata-splitz"", ""banqueta-alice-mixta-pata-splitz""]"
banqueta-isonet,"[""banqueta-dream-respaldo-malla"", ""banqueta-dream-tapizada-completa"", ""banqueta-iso-revolution-tapizada"", ""banqueta-kyos-tapizada-completa"", ""banqueta-kyos-asiento-tapizada"", ""banqueta-layer"", ""banqueta-shell-tapizada"", ""banqueta-kyos-respaldo-malla"", ""banqueta-spring-tapizada-pata-recta-negra"", ""banqueta-alice-mixta-pata-splitz""]"
banqueta-kyos-tapizada-completa,"[""banqueta-dream-respaldo-malla"", ""banqueta-dream-tapizada-completa"", ""banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado"", ""banqueta-iso-revolution-tapizada"", ""banqueta-isonet"", ""banqueta-kyos-asiento-tapizada"", ""banqueta-kyos-polipropileno"", ""banqueta-shell-tapizada"", ""butaca-florencia"", ""banqueta-kyos-respaldo-malla"", ""banqueta-alice-mixta-pata-splitz"", ""banqueta-alice-tapizada""]"
banqueta-kyos-asiento-tapizada,"[""banqueta-dream-respaldo-malla"", ""banqueta-dream-tapizada-completa"", ""banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado"", ""banqueta-iso-revolution-tapizada"", ""banqueta-isonet"", ""banqueta-kyos-tapizada-completa"", ""banqueta-kyos-polipropileno"", ""banqueta-shell-tapizada"", ""butaca-florencia"", ""banqueta-kyos-respaldo-malla"", ""banqueta-spring-tapizada-pata-recta-negra"", ""banqueta-alice-mixta-pata-splitz""]"
banqueta-kyos-polipropileno,"[""banqueta-dream-polipropileno"", ""banqueta-dream-respaldo-malla"", ""banqueta-iso-revolution-polipropileno"", ""banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado"", ""banqueta-kyos-tapizada-completa"", ""banqueta-kyos-asiento-tapizada"", ""banqueta-layer"", ""banqueta-shell-pla-stica"", ""banqueta-kyos-respaldo-malla"", ""banqueta-cosmos-pata-luna-cromada"", ""banqueta-cosmos-pata-recta"", ""banqueta-iso-plastica"", ""banqueta-alice-polipropileno-plastico-pata-luna-cromada"", ""banqueta-alice-polipropileno-plastico-pata-splitz"", ""banqueta-alice-mixta-pata-splitz""]"
banqueta-layer,"[""banqueta-dream-polipropileno"", ""banqueta-dream-respaldo-malla"", ""banqueta-iso-revolution-polipropileno"", ""banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado"", ""banqueta-iso-smart-plastica-italiana"", ""banqueta-kyos-polipropileno"", ""banqueta-shell-pla-stica"", ""banqueta-kyos-respaldo-malla"", ""banqueta-cosmos-pata-luna-cromada"", ""banqueta-cosmos-pata-recta"", ""banqueta-iso-plastica"", ""banqueta-alice-polipropileno-plastico-pata-luna-cromada"", ""banqueta-alice-polipropileno-plastico-pata-splitz"", ""banqueta-alice-mixta-pata-splitz""]"
banqueta-shell-pla-stica,"[""banqueta-dream-polipropileno"", ""banqueta-iso-revolution-polipropileno"", ""banqueta-iso-revolution-respaldo-polipropileno-asiento-tapizado"", ""banqueta-kyos-polipropileno"", ""banqueta-shell-tapizada"", ""banqueta-cosmos-pata-luna-cromada"", ""banqueta-cosmos-pata-recta"", ""banqueta-iso-plastica"", ""banqueta-alice-polipropileno-plastico-pata-luna-cromada"", ""banqueta-alice-polipropileno-plastico-pata-splitz"", ""banqueta-alice-mixta-pata-splitz""]"
banqueta-shell-tapizada,"[""banqueta-dream-tapizada-completa"", ""banqueta-iso-revolution-tapizada"", ""banqueta-isonet"", ""banqueta-kyos-tapizada-completa"", ""banqueta-shell-pla-stica"", ""butaca-florencia"", ""banqueta-spring-tapizada-pata-recta-negra""]"
butaca-florencia,"[""banqueta-dream-tapizada-completa"", ""banqueta-iso-revolution-tapizada"", ""banqueta-isonet"", ""banqueta-kyos-tapizada-completa"", ""banqueta-alice-mixta-pata-splitz"", ""banqueta-alice-tapizada""]"
silla-bologna-cajero,"[""silla-rudy-media-cajero"", ""silla-torino-1-cajero"", ""silla-torino-cajero-media"", ""silla-torino-1-alta-pivotal""]"
silla-iso-cajero,"[""silla-bologna-cajero"", ""silla-prisma-cajero"", ""silla-rudy-media-cajero"", ""silla-torino-1-cajero"", ""silla-torino-cajero-media"", ""silla-tulip-cajero""]"
silla-prisma-cajero,"[""silla-bologna-cajero"", ""silla-iso-cajero"", ""silla-rudy-media-cajero"", ""silla-torino-1-cajero"", ""silla-torino-cajero-media"", ""silla-tulip-cajero""]"
silla-rudy-media-cajero,"[""silla-bologna-cajero"", ""silla-iso-cajero"", ""silla-prisma-cajero"", ""silla-torino-1-cajero"", ""silla-torino-cajero-media"", ""silla-tulip-cajero""]"
silla-torino-1-cajero,"[""silla-bologna-cajero"", ""silla-iso-cajero"", ""silla-prisma-cajero"", ""silla-rudy-media-cajero"", ""silla-torino-cajero-media"", ""silla-tulip-cajero""]"
